;1:00:00;2:00:00;3:00:00;4:00:00;5:00:00;6:00:00;7:00:00;8:00:00;9:00:00;10:00:00;11:00:00;12:00:00;13:00:00;14:00:00;15:00:00;16:00:00;17:00:00;18:00:00;19:00:00;20:00:00;21:00:00;22:00:00;23:00:00;0:00:00
24.08.2019;74;115;87;102;68;68;32;66;119;118;56;66;96;28;80;22;46;49;70;69;89;109;52;27
25.08.2019;105;45;53;45;92;77;85;116;117;76;48;117;37;34;36;109;100;57;110;51;90;94;91;43
26.08.2019;89;37;51;51;71;49;94;53;47;74;87;35;112;49;46;37;38;105;84;89;45;50;114;40
27.08.2019;102;56;66;36;41;97;22;92;64;71;57;77;56;106;38;105;48;46;69;112;53;61;91;90
28.08.2019;54;50;27;115;75;62;34;70;82;87;37;35;100;108;103;56;98;115;27;47;40;104;104;85
29.08.2019;23;69;111;120;56;115;64;119;109;101;73;52;115;66;99;110;108;24;89;68;102;52;112;61
30.08.2019;41;28;43;31;109;21;109;23;80;71;37;94;100;108;38;86;38;75;115;75;99;79;120;89
31.08.2019;38;100;66;83;103;89;53;72;78;63;50;67;40;80;66;33;44;57;26;94;53;97;43;99
01.09.2019;56;73;118;52;104;44;64;23;33;27;55;100;98;33;85;70;33;57;56;77;56;57;30;30
02.09.2019;46;62;40;28;118;62;69;43;56;44;87;49;52;111;68;108;82;72;24;94;23;70;27;79
03.09.2019;31;100;40;83;21;28;53;26;34;51;25;67;59;98;103;25;58;29;30;93;29;83;80;24
04.09.2019;79;114;65;87;105;95;61;106;88;82;52;97;29;57;41;23;49;29;61;110;107;64;118;66
05.09.2019;44;88;66;73;104;97;93;50;116;116;29;34;92;86;65;110;73;50;67;25;53;118;35;92
06.09.2019;95;42;20;75;36;69;53;31;25;108;108;70;82;47;33;114;58;55;29;68;22;93;38;84
07.09.2019;47;30;89;85;82;74;111;113;76;97;45;97;92;103;50;44;52;48;89;101;63;40;75;106
08.09.2019;44;76;88;21;115;39;110;77;34;53;46;96;31;113;101;95;87;20;50;23;42;54;120;98
09.09.2019;94;45;116;90;30;90;97;109;88;63;109;55;86;62;93;55;96;77;88;21;34;108;89;20
10.09.2019;91;33;97;40;81;61;55;57;77;36;58;77;65;35;53;118;31;34;112;102;94;71;31;86
11.09.2019;21;100;78;61;68;116;85;77;72;24;90;90;24;43;61;51;95;51;65;109;83;107;62;92
12.09.2019;75;63;46;47;45;57;35;109;52;41;36;105;28;70;103;34;60;56;94;120;116;104;112;51
13.09.2019;27;72;42;91;103;111;35;69;40;32;115;106;117;102;37;38;63;25;26;118;96;28;107;29
14.09.2019;58;117;70;111;107;113;107;118;39;54;37;69;76;39;79;55;46;34;75;54;36;92;59;27
15.09.2019;94;66;83;75;98;32;84;100;61;115;92;66;29;79;116;58;20;73;73;33;74;33;20;105
16.09.2019;33;114;48;90;105;113;56;21;95;69;34;27;22;30;57;59;108;87;64;69;60;60;50;105
17.09.2019;74;26;86;43;110;100;46;56;49;36;32;77;68;25;89;88;37;27;44;102;41;48;47;29
18.09.2019;66;63;37;56;26;54;51;21;116;60;89;46;46;63;92;87;55;41;94;111;46;118;68;31
19.09.2019;100;42;90;51;105;50;90;97;52;101;119;113;61;70;71;47;60;114;24;24;36;50;87;80
20.09.2019;20;44;101;109;80;119;108;86;97;58;63;85;93;50;101;53;62;67;64;63;77;109;30;32
21.09.2019;94;83;45;32;83;108;97;24;70;29;90;72;116;62;76;41;95;72;40;29;44;33;27;83
22.09.2019;47;74;97;29;111;115;77;55;31;120;34;50;97;51;72;113;63;36;33;113;55;119;80;24
23.09.2019;82;97;75;58;70;113;94;25;86;86;110;60;98;95;79;25;43;23;22;23;49;29;24;116
24.09.2019;75;45;78;60;81;112;44;52;109;118;69;91;64;106;101;96;81;26;116;69;98;51;96;116
25.09.2019;51;100;88;85;66;35;40;34;86;81;91;55;76;59;99;45;105;118;112;119;101;23;81;34
26.09.2019;70;60;40;27;119;45;43;20;109;88;89;104;79;23;36;52;82;89;107;39;101;112;41;85
27.09.2019;31;117;76;48;95;46;66;23;53;84;69;107;68;105;29;85;102;115;111;116;42;106;64;95
28.09.2019;62;90;48;46;101;108;59;21;103;101;115;87;58;104;103;85;89;60;52;40;66;86;25;75
29.09.2019;75;70;63;82;119;109;49;83;81;25;99;57;21;78;114;98;54;47;92;21;77;107;73;38
30.09.2019;113;42;47;83;72;117;22;58;44;66;94;102;108;61;92;111;112;30;80;33;39;62;119;92

