38;31;16;35;15;34;13;50;46;34;44;21;27;14;46;34;12;38;11;50;25;49;26;34;19;20;37;37;47;16;45;40;46
39;39;17;17;41;36;21;49;15;17;11;26;26;38;39;16;26;35;29;48;29;13;18;38;35;28;50;31;44;45;34;30;49
50;23;29;18;43;37;34;23;13;13;32;31;14;47;33;18;45;10;20;31;28;36;36;31;13;20;45;20;22;48;32;18;14
17;43;42;11;31;28;42;27;30;10;39;21;45;43;23;37;31;24;25;39;50;49;33;20;46;24;32;42;45;14;12;14;32
34;47;28;12;44;16;11;22;24;16;19;27;15;36;10;38;47;27;12;23;42;21;29;42;42;47;21;25;10;13;19;44;16
36;44;20;39;25;33;20;25;23;34;26;31;17;35;14;10;43;22;41;25;43;46;43;40;13;17;14;12;24;25;17;32;29
42;50;50;50;45;36;15;16;50;36;30;15;40;47;18;42;41;20;17;43;22;13;31;38;44;25;33;27;23;41;26;44;41
14;18;35;15;10;28;11;22;33;42;11;38;11;10;25;46;11;44;20;37;29;36;32;44;33;23;22;50;40;38;30;31;22
14;30;48;18;45;29;13;33;19;14;48;48;36;22;26;46;40;45;29;19;15;38;39;11;26;15;34;37;40;34;42;13;32
33;30;17;25;42;17;44;23;39;40;29;13;40;10;34;28;29;50;18;46;43;27;27;48;45;25;28;47;12;43;47;16;30
37;42;16;22;14;50;27;48;18;50;21;36;43;30;34;28;17;37;35;37;42;20;35;15;13;11;30;26;46;34;49;33;41
14;37;20;15;37;18;22;17;36;11;31;20;35;40;24;36;48;17;43;48;42;25;42;38;48;34;10;34;49;21;37;20;22
41;40;32;46;28;25;16;20;25;39;24;25;34;32;28;49;28;19;12;44;34;13;17;16;33;49;38;28;32;28;19;44;46
41;21;31;38;18;18;24;38;15;47;34;32;49;33;27;30;11;16;41;18;19;16;28;13;27;32;43;29;50;11;21;46;40
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
